_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
1445,Stung Chinit,Hydro,Planned,5,,,,,,,, ,Cambodia,Kâmpóng Thum,Baray,,Stung Chhnit,12.5182,105.266, , ,,OpenDevelopment, , ,,0101000020E61000001B2FDD2406515A402844C02154092940
1446,Stung Kep I,Hydro,Planned,4,,,,,,,, ,Cambodia,Koh Kong,Thma Bang,,Coastal Rivers Koh Kong,11.6496,103.198, , ,,OpenDevelopment, , ,,0101000020E6100000FFB27BF2B0CC59405B94D920934C2740
1447,Stung Kep II,Hydro,Planned,26,,,,,,,, ,Cambodia,Koh Kong,Thma Bang,,Coastal Rivers Koh Kong,11.7418,103.336, , ,,OpenDevelopment, , ,,0101000020E610000044696FF085D55940CF4E0647C97B2740
1448,Stung Meteuk I,Hydro,Planned,175,,,,,,,, ,Cambodia,Pursat,Veal Veaeng,,Coastal Rivers Trat Chantaburi,12.209,102.765, , ,,OpenDevelopment, , ,,0101000020E6100000295C8FC2F5B05940D061BEBC006B2840
1449,Stung Meteuk II,Hydro,Planned,210,,,,,,,, ,Cambodia,Pursat,Veal Veaeng,,Coastal Rivers Trat Chantaburi,12.0277,102.864, , ,,OpenDevelopment, , ,,0101000020E6100000ECC039234AB759403CDA38622D0E2840
1450,Stung Meteuk III,Hydro,Planned,50,,,,,,,, ,Cambodia,Koh Kong,Mondol Seima,,Coastal Rivers Trat Chantaburi,11.8426,102.891, , ,,OpenDevelopment, , ,,0101000020E610000030BB270F0BB959403AE97DE36BAF2740
1451,Stung Mongkol Borey I,Hydro,Planned,7,,,,,,,, ,Cambodia,Battambang,Bavel,,Steng Mongkol Borei-Battambang,13.0884,102.898, , ,,OpenDevelopment, , ,,0101000020E61000002FDD240681B95940CCEEC9C3422D2A40
1452,Stung Mongkol Borey II,Hydro,Planned,7,,,,,,,, ,Cambodia,Battambang,Kamrieng,,Steng Mongkol Borei-Battambang,13.1024,102.746, , ,,OpenDevelopment, , ,,0101000020E610000072F90FE9B7AF59406A87BF266B342A40
1453,Stung Piphot,Hydro,Planned,25,,,,,,,, ,Cambodia,Koh Kong,Srae Ambel,,Coastal Rivers Koh Kong,11.3041,103.602, , ,,OpenDevelopment, , ,,0101000020E6100000D122DBF97EE6594024287E8CB99B2640
1454,Stung Pursat I,Hydro,Under Construction,80,2023,,South Korea; China; Cambodia,SPHP Co. Ltd.,,,, ,Cambodia,Pursat,Veal Veaeng,,Steng Pursat,12.2863,103.295, , ,,OpenDevelopment,https://www.voacambodia.com/a/villagers-in-pursat-risk-losing-everything-to-dam-development/4876663.html; https://www.phnompenhpost.com/business/new-231m-pursat-dam-built; , ,12:21:20,0101000020E610000090A0F831E6D259406DFFCA4A93922840
1455,Stung Pursat II,Hydro,Planned,17,,,China,,,,, ,Cambodia,Pursat,Phnum Kravanh,,Steng Pursat,12.3246,103.516, , ,,OpenDevelopment, , ,,0101000020E610000054742497FFE05940A03715A930A62840
1456,Stung Pursat IV,Hydro,Planned,2,,,,,,,, ,Cambodia,Pursat,Phnum Kravanh,,Steng Pursat,12.2413,103.785, , ,,OpenDevelopment, , ,,0101000020E610000058A835CD3BF25940965B5A0D897B2840
1457,Stung Pursat V,Hydro,Planned,2,,,,,,,China,China Guangdong Foreign Construction Company (China),Cambodia,Pursat,Phnum Kravanh,,Steng Pursat,12.3738,103.838, , ,,OpenDevelopment,http://www.gdfc.cc/en/projects_view.aspx?project_id=320&project_class=30, ,,0101000020E610000076E09C11A5F559401E1B81785DBF2840
1458,Stung Sen,Hydro,Planned,38,,,South Korea; Kuwait,,,,, ,Cambodia,Preah Vihéar,Rovieng,,Steng Sen,13.3757,105.245, ,,,OpenDevelopment,https://sithi.org/landissue/db/0909_Table_Hydro%20Dams%20Approved.pdf, ,12:21:20,0101000020E61000005D6DC5FEB24F5A40E3361AC05BC02A40
1459,Stung Siem Reap,Hydro,Planned,2,,,,,,,, ,Cambodia,Siem Reap,Svay Leu,,Stung Siem Reap,13.5546,104.162, , ,,OpenDevelopment, , ,,0101000020E610000066666666660A5A405C1B2AC6F91B2B40
1460,Stung Sreng,Hydro,Planned,7,,,,,,,, ,Cambodia,Oddar Meanchey,Chong Kal,,Steng Sreng,14.0157,103.724, , ,,OpenDevelopment, , ,,0101000020E6100000FCA9F1D24DEE5940F2B5679604082C40
1461,Stung Staung,Hydro,Planned,4,,,,,,,, ,Cambodia,Kampong Thom,Prasat Balangk,,Steng Staung,13.2226,104.766, , ,,OpenDevelopment, , ,,0101000020E6100000CC5D4BC807315A401990BDDEFD712A40
1462,Stung Sva Slapp,Hydro,Planned,4,,,,,,,, ,Cambodia,Kampong Speu,Aoral,,Mekong Mainstem - Lower Cambodia Floodplain,11.6898,104.018, , ,,OpenDevelopment, , ,,0101000020E61000001361C3D32B015A403737A6272C612740
1463,Stung Tanat,Hydro,Planned,4,,,,,,,, ,Cambodia,Siem Reap,Varin,,Steng Tanat,13.8849,103.897, , ,,OpenDevelopment, , ,,0101000020E6100000AF94658863F9594085CE6BEC12C52B40
1464,Stung Tatai Leu,Hydro,Planned,150,2026,,China,China National Heavy Machinery Corp,,,,,Cambodia,Koh Kong,Thma Bang,,Coastal Rivers Koh Kong,11.6617,103.398,"Actual location unknown, currently sited at locality in link/announcement",527000,,Khmer Times,https://www.phnompenhpost.com/business/proposed-koh-kong-dam-one-step-closer; https://www.khmertimeskh.com/50738965/more-hydropower-proposed-as-energy-demand-fluctuates/; https://www.phnompenhpost.com/business/implementation-accord-inked-koh-kong-dam,https://www.khmertimeskh.com/50776451/cabinet-approves-stung-tatai-leu-hydropower-dam-development-project/,12:21:20,0101000020E6100000FBB2B45373D95940DF37BEF6CC522740
1465,Stung Tatay,Hydro,Operational,246,2014,,China,China National Heavy Machinery Corporation,China,China EXIM Bank (China),China,China Gezhouba Group Corporation (China),Cambodia,Koh Kong,Thma Bang,,Coastal Rivers Koh Kong,11.6386,103.26, , ,,Boston University,"https://www.internationalrivers.org/sites/default/files/attached-files/case_study_china_investments_in_cambodia.pdf
https://china.aiddata.org/projects/32192; datasets.wri.org/dataset/globalpowerplantdatabase; https://cdm.unfccc.int/Projects/DB/BVQI135545", ,,0101000020E61000005BB1BFEC9ED0594010CCD1E3F7462740
1466,Stung Treng,Hydro,Postponed,980,,,Cambodia,Royal Group,Vietnam,"Vietnam Urban & Industrial Zone Development
Investment Corporation (Vietnam)",, ,Cambodia,Stung Treng,Stueng Traeng,,Mekong Mainstream - Lower,13.5753,105.985, , ,,OpenDevelopment,https://www.voanews.com/east-asia-pacific/cambodia-halts-hydropower-construction-mekong-river-until-2030,https://opendevelopmentcambodia.net/tag/stung-treng-dam/,,0101000020E6100000744694F6067F5A4066BD18CA89262B40
1467,Stung Veal Thmor Kambot,Hydro,Planned,100,,,China,China Huadian Corporation,,,, ,Cambodia,Koh Kong,Kaoh Kong,,Coastal Rivers Koh Kong,11.4632,103.032,"Actual location unknown, currently sited at locality in link/announcement", ,,Khmer Times,https://www.khmertimeskh.com/638580/chinese-company-asked-to-re-conduct-koh-kong-dam-study/,https://www.phnompenhpost.com/business/prospect-another-koh-kong-dam-raised,08:03:20,0101000020E6100000FB93F8DC09C25940E96514CB2DED2640
1468,Su Pan 2,Hydro,Operational,34.5,2011,,Vietnam,Song da- Hoang Lien Hydropower JSC.,,,, ,Vietnam,Lào Cai,Sa Pa,,Red Mainstem and Delta,22.2647,103.962, ,165000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/su-pan-2-Hydropower, ,,0101000020E6100000840D4FAF94FD59404F401361C3433640
1469,Subplu Wind Farm 1 + 2,Wind,Operational,10,2015,,Thailand,Wind Energy Development Co.,,,China; Spain,"PowerChina ZhongNan (EPC) (China), Gamesa Thailand (Spain)",Thailand,Nakhon Ratchasima,Dan Khun Thot,,Mun-Chi,15.12,101.48, , ,,Heritage,"September 2015, https://www.gunkul.com/en/our-business/power-producer/wind-farm", ,,0101000020E61000001F85EB51B85E59403D0AD7A3703D2E40
1470,Subyai Wind Power Project,Wind,Operational,90,2016,,Thailand,"Chaiyaphum Wind Farm Company Limited, EGAT",ADB,ADB,, ,Thailand,Chaiyaphum,K. Sap Yai,,Mun-Chi,15.5989,101.509, , ,,ADB, , ,,0101000020E6100000B8AF03E78C6059408ACDC7B5A1322F40
1471,Sumikin Rojana Solar Plant,Solar,Under Construction,24,,,Thailand; Japan,"Rojana Group, Sumikin Bussan",,,Thailand; Japan,"Rojana Power Co (Thailand, Japan)",Thailand,Prachin Buri,Sri Mahar Pho,,Chao Phraya-Ping,13.8139,101.538, , ,,World Bank,"http://ppi-re.worldbank.org/data/project/sumikin-rojana-solar-plant-6088, https://www.kepco.co.jp/english/corporate/info/international/generate/thai.html", ,,0101000020E61000007CF2B0506B625940E21E4B1FBAA02B40
1472,Sung Vui,Hydro,Operational,18,,,Vietnam,Nam Tien Lao Cai JSC.,,,, ,Vietnam,Lào Cai,Sa Pa,,Red Mainstem and Delta,22.4344,103.821, ,57600,,Open Development Vietnam,https://vietnam.opendevelopmentmekong.net/dataset/?id=danh-sach-cac-th-y-di-n-t-i-vi-t-nam-tinh-d-n-thang-06-2016&search_query=P3BhZ2U9Mg==, ,,0101000020E6100000068195438BF45940E561A1D6346F3640
1473,Suo Lwe (Soluu),Hydro,Planned,240,2025,,China,China Southern Power Grid Yunnan International Co.,,,, ,Myanmar,Shan,Kengtung,,Nan Lue-Nan Lan,21.3596,100.176, , ,,WLE Mekong,https://wle-mekong.cgiar.org ; https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+0, ,,0101000020E6100000D734EF38450B594023F3C81F0C5C3540
1474,Suoi Lum 1 (Thủy điện Suối Lừm),Hydro,Operational,20,2013,,Vietnam,Nam Lum Hydro Power JSC.,,,, ,Vietnam,Sơn La,Mường La,,Black-Li Xian,21.3884,104.231, ,80000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/suoi-lum-1-Hydropower, ,,0101000020E6100000105839B4C80E5A4033C4B12E6E633540
1475,Suoi Lum 3 (Thủy điện Suối Lừm),Hydro,Operational,14,2025,,Vietnam,Nam Lum Hydro Power JSC.,,,, ,Vietnam,Sơn La,Mường La,,Black-Li Xian,21.3884,104.231,"Actual location unknown, currently sited at locality in link/announcement", ,,wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_Su%E1%BB%91i_L%E1%BB%ABm, ,,0101000020E6100000105839B4C80E5A4033C4B12E6E633540
1476,Suoi Sap 1 (Thủy điện Suối Sập 1),Hydro,Operational,20,2013,,Vietnam,Công ty Thương mại xây dựng đầu tư và Phát triển (TMXDĐT&PT) Xuân Thiện,,,, ,Vietnam,Sơn La,Bắc Yên,,Black-Li Xian,21.2297,104.495, , ,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_Su%E1%BB%91i_S%E1%BA%ADp,http://icon.com.vn/vn-s83-99830-580/Huyen-Bac-Yen-Son-La-xay-dung-4-nha-may-thuy-dien-nho.aspx,,0101000020E61000000F9C33A2B41F5A4026E4839ECD3A3540
1477,Suoi Sap 2 (Thủy điện Suối Sập 2),Hydro,Operational,14.5,2007,,Vietnam,Công ty Thương mại xây dựng đầu tư và Phát triển (TMXDĐT&PT) Xuân Thiện,,,, ,Vietnam,Sơn La,Bắc Yên,,Black-Li Xian,21.2297,104.495, , ,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_Su%E1%BB%91i_S%E1%BA%ADp,https://vietnamnet.vn/vn/thoi-su/su-co-thuy-dien-o-son-la-tim-thay-8-thi-the-53306.html,,0101000020E61000000F9C33A2B41F5A4026E4839ECD3A3540
1478,Suoi Sap 3 (Thủy điện Suối Sập 3),Hydro,Operational,14,2011,,Vietnam,Bac Minh Development Investment JSC,,,Vietnam,"Công ty Cổ phần tư vấn xây dựng điện 1 (design consultant, engineering consultant)",Vietnam,Sơn La,Phù Yên,,Black-Li Xian,21.2235,104.495, ,50500,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/suoi-sap-3-Hydropower,http://sbm.com.vn/6_ProduceDetail_222_275_388__du-an-thuy-dien-suoi-sap-3.aspx,,0101000020E61000000F9C33A2B41F5A40F0A7C64B37393540
1479,Suoi Vang (AnKroet),Hydro,Operational,3.1,1945,,Vietnam,Vietnam Electricity (EVN),,,, ,Vietnam,Lâm Đồng,Lạc Dương,,Dong Nai,11.9921,108.371, , ,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/suoi-vang-Hydropower, ,,0101000020E6100000D656EC2FBB175B4024B9FC87F4FB2740
1480,Superblock Bac Lieu,Wind,Planned,142,2020,,Thailand,Superblock Pcl,,,, ,Vietnam,Bạc Liêu,Giá Rai,,Vietnam Mekong Delta,9.25389,105.512,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson database,https://mobile-reuters-com.cdn.ampproject.org/c/s/mobile.reuters.com/article/amp/idUSKBN1FT155, ,,0101000020E6100000CDCCCCCCCC605A40D7A02FBDFD812240
1481,Superblock Ca Mau,Wind,Planned,100,2020,,Thailand,Superblock Pcl,,,, ,Vietnam,Cà Mau,Đầm Dơi,,Vietnam Mekong Delta,8.96222,105.126,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson database, , ,,0101000020E61000008E75711B0D485A40C2FBAA5CA8EC2140
1482,Superblock Soc Trang,Wind,Planned,98,2020,,Thailand,Superblock Pcl,,,, ,Vietnam,Sóc Trăng,Sóc Trăng,,Vietnam Mekong Delta,9.60083,105.959,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson database, , ,,0101000020E610000013F241CF667D5A4013B70A62A0332340
1483,Surat Thani,Mixed Fossil Fuel,Operational,244,2001,,Thailand,EGAT,,,, ,Thailand,Surat Thani,Phunphin,,Ta Pi,9.07148,99.2255, , ,,Electricity Generating Authority of Thailand,"https://www.egat.co.th/en/index.php?option=com_content&view=article&id=42&Itemid=117
https://www.industryabout.com/country-territories-3/2062-thailand/fossil-fuels-energy/31369-surat-thani-gas-power-plant", ,,0101000020E6100000159161156FCE5840D6E5948098242240
1484,Surat Thani,Gas,Operational,244,2001,,Thailand,EGAT,,,, ,Thailand,Surat Thani,Phunphin,,Ta Pi,9.0723,99.2418, ,998951.6,,World Resources Institute,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=92&Itemid=123, ,,0101000020E61000000F0BB5A679CF584069006F8104252240
1485,Surat Thani Biomass Power Generation,Biomass,Operational,9.95,2007,,Thailand,Surat Thani Green Energy Co,,,Japan,Agritech Marketing Co; NES Japan Co. Ltd; Mitsubishi UFJ Morgan Stanley Securities Co. Ltd.,Thailand,Surat Thani,Ban Na Doem,,Ta Pi,8.95957,99.2227, , ,,"Meidensha, UNFCCC",Empty fruit bunches (palm kernel shells),https://www.meidensha.com/products/case/prod_01/prod_01_02/prod_01_02_02/1210629_4244.html https://cdm.unfccc.int/Projects/DB/DNV-CUK1200412599.62/view,,0101000020E610000038F3AB3940CE58404F1E166A4DEB2140
1486,Surat Thani Solar Power Plant,Solar,Operational,1,,,Thailand,Thai Solar Energy Public Company Limited (TSE),,,, ,Thailand,Surat Thani,Muang Surat Thani,,Khong Phum Duang,9.1178,99.2995, ,1333.654,,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects, ,,0101000020E6100000BA490C022BD3584007F01648503C2240
1487,Surin 1 Solar Power Plant,Solar,Operational,7.4,2014,,Thailand,Solar Power (Surin 1) Company Limited (Solar Power Co. Ltd; PEA ENCOM Co. Ltd),,,, ,Thailand,Surin,Samrong Thap,,Mun-Chi,15.078,103.886, ,9869.042,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/33, ,,0101000020E610000029CB10C7BAF859400E2DB29DEF272E40
1488,Surin 2 Solar Power Plant,Solar,Operational,7.4,2014,,Thailand,Solar Power (Surin 2) Company Limited (Solar Power Co. Ltd; PEA ENCOM Co. Ltd),,,, ,Thailand,Surin,Sangkha,,Mun-Chi,14.6283,103.811, ,9869.042,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/34, ,,0101000020E61000001D5A643BDFF359405227A089B0412D40
1489,Surin 3 Solar Power Plant,Solar,Operational,7.4,2014,,Thailand,Solar Power (Surin 3) Company Limited (Solar Power Co. Ltd),,,, ,Thailand,Surin,Tha Tum,,Mun-Chi,15.3723,103.69, ,9869.042,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/29, ,,0101000020E61000005C8FC2F528EC5940029A081B9EBE2E40
1490,Suvannaphum Power Plant,Coal,Operational,10,2008,,Thailand; Cambodia,Suvannaphum Investment Co.,,,, ,Cambodia,Kandal,Kien Svay,,Mekong Mainstem - Lower Cambodia Floodplain,11.3763,105.252, , ,,VDB LOI,http://suvannaphum.codeclans.asia/power-plant, ,,0101000020E6100000E3A59BC420505A40FF959526A5C02640
1491,Svay Rieng Solar,Solar,Under Construction,20,2021,,Cambodia; Malaysia,Pestech International,,,, ,Cambodia,Svay Rieng,Svay Teab,,Song Vam Ca Tay,11.0866,105.83,"Actual location unknown, currently sited at locality in link/announcement", ,,Online,https://www.akp.gov.kh/post/detail/13129; https://www.pv-magazine.com/2019/07/15/cambodia-approves-four-pv-projects-totaling-140-mw/; https://www.phnompenhpost.com/business/malaysian-firm-buys-stake-energy-company; https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/, ,12:28:20,0101000020E61000008CE20B491C755A40AA7C1165562C2640
1492,Sông Hinh Hydro,Hydro,Operational,64,,,Vietnam,EVN,,,, ,Vietnam,Phú Yên,Sông Hinh,,Song Da Rang-Song Ba,12.9228,109.018, , ,,Wikipedia,https://www.mbs.com.vn/Upload/a_TLS/Equity/EquityUpdate_%20VSH_230811_EN.pdf, ,,0101000020E610000085EB51B81E415B4046CEC29E76D82940
1493,T.H. Pellet Watewater Treatment,Waste,Unknown,1,,,Thailand,T.H. Pellet Co. Ltd.,,,Japan,Marubeni Co.,Thailand,Nakhon Ratchasima,Sikhiu,,Mun-Chi,14.91,101.713, , ,,UNFCCC,Biogas from wastewater from tapioca starch,https://cdm.unfccc.int/Projects/DB/JCI1274860553.31/view,,0101000020E6100000FDF675E09C6D5940FDC1C073EFD12D40
1494,Ta Khit Solar Power Plant,Solar,Operational,7.6,,,Thailand,G-Power Source Co Ltd,,,, ,Thailand,Nakhon Sawan,Banphot Phisai,,Chao Phraya-Ping,16.0266,99.8885, ,10135.77,,World Resources Institute,http://www.egco.com/en/corperate_com_press_detail.asp?press_id=206&iYear=2014, ,,0101000020E6100000BE9F1A2FDDF85840D712F241CF063040
1495,Ta Loi 3,Hydro,Operational,7.5,2012,,Greece,Intracom,,,, ,Vietnam,Lào Cai,Bát Xát,,Red Mainstem and Delta,22.4875,103.665, ,30000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ta-loi-3-Hydropower, ,,0101000020E6100000D881734694EA5940CDCCCCCCCC7C3640
1496,Ta Niet,Hydro,Operational,3.6,2014,,Vietnam,Ta Niet Hydro Power JSC,,,, ,Vietnam,Sơn La,Mộc Châu,,Black-Li Xian,20.8944,104.523, ,18000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ta-niet-Hydropower, ,,0101000020E610000005C58F3177215A40DB8AFD65F7E43440
1497,Ta Sang,Solar,Operational,7.6,2012,,Thailand,"G-Power Source Co., Ltd (Gunkul Engineering Plc.)",,,, ,Thailand,Nakhon Sawan,Banphot Phisai,,Chao Phraya-Ping,16.0186,99.9874, , ,,Industry About,https://www.industryabout.com/country-territories-3/2068-thailand/solar-energy/31504-ta-sang-solar-power-plant, ,,0101000020E61000005E2EE23B31FF584078B988EFC4043040
1498,Ta Thang,Hydro,Operational,60,2013,,Vietnam,Lao Cai Vietracimex Electricity JSC.; Vietnam Trading Engineering Company,Japan,JBIC,, ,Vietnam,Lào Cai,Sa Pa,,Red Mainstem and Delta,22.2987,104.022, ,242000,,Open Development Vietnam,"https://data.opendevelopmentmekong.net/vi/library_record/ta-thang-Hydropower; https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
https://cdm.unfccc.int/Projects/DB/RWTUV1322149039.33/view", ,,0101000020E6100000764F1E166A015A40B1506B9A774C3640
1499,Ta Trach,Hydro,Operational,21,2013,,Vietnam,Bitexco Group,,,, ,Vietnam,Thừa Thiên Huế,Hương Thủy,,Song Trach,16.3164,107.637, ,85000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ta-trach-Hydropower, ,,0101000020E61000001B9E5E29CBE85A4054742497FF503040
1500,Ta Vi,Hydro,Operational,3,2011,,Vietnam,Manh Nam Pressure Mechanical JSC,,,, ,Vietnam,Quảng Nam,Bắc Trà My,,Song Thu Bon Mainstem,15.2624,108.147, ,10000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ta-vi-Hydropower, ,,0101000020E6100000FE65F7E461095B40D8F0F44A59862E40
1501,Tad Sampamit,Hydro,Planned,5,,,Thailand,Charoen Xaytong Construction,,,, ,Laos,Champasak,Pathoomphone,,Mekong Mainstream - Lower,14.6628,105.969,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 4/12/2014, ,,0101000020E61000000B462575027E5A40C1E270E657532D40
1502,Tadsakoi (Xaybangluang 2),Hydro,Under Construction,30,,,Thailand; Laos,"B. Grimm Power Pcl, Daosavan Investment and Construction Group Sole Company",,,, ,Laos,Savannakhét,Khanthabouly,,Mekong Mainstream - Lower,16.5722,104.77,"Actual location unknown, currently sited at locality in link/announcement", ,,World Bank,"MOU signed; http://documents.worldbank.org/curated/en/160621508232662247/pdf/120466-ESM-P163979-PUBLIC-LaoPDRHydropowerMappingInceptionReportWBESMAPJuly.pdf; https://www.bgrimmpower.com/en/power-plants/overseas/99/tadsakoi-hydro-power-co-ltd, http://annx", ,,0101000020E6100000F7065F984C315A40FC1D8A027D923040
1503,Tadsalaem,Hydro,Operational,3.2,2012,,Thailand,SIC Manufacturer,,,, ,Laos,Savannakhét,Champhone,,Xe Banghiang,16.5472,105.06, , ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E6100000A4703D0AD7435A40075F984C158C3040
1504,Taikgyi,Wind,Planned,40,,,China,China Three Gorges,,,, ,Myanmar,Yangon,Yangon-N,,Irrawaddy Mainstem and Delta,17.3146,95.9458,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html, ,,0101000020E610000091B8C7D287FC57402A5778978B503140
1505,Takhian - Sonnedix Solar Power Plant,Solar,Operational,7.5,,,Thailand,"Chiangrai Solar Company ,Ltd.",,,, ,Thailand,Nakhon Ratchasima,Dan Khun Thot,,Mun-Chi,15.1183,101.735, ,10002.41,,World Resources Institute,http://www.sonnedix.com/power-plants/list-of-plants/operating/, ,,0101000020E610000010E9B7AF036F5940CD3B4ED1913C2E40
1506,Tam Jae,Hydro,Planned,5,,,Thailand,DMD Patana Company Ltd,,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 12/1/2012, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1507,Tan Lap (Điện gió Tân Lập),Wind,Planned,30,,,Vietnam,Công ty Cổ phần Đầu tư Điện lực 3 (PC3-INVEST),,,, ,Vietnam,Quảng Trị,Hướng Hóa,,Xe Banghiang,16.6096,106.692,"Actual location unknown, currently sited at locality in link/announcement", ,,News,https://dpi.quangtri.gov.vn/vi/van-ban-tiep-nhan/Cong-van/V-v-bo-sung-quy-hoach-Du-an-Nha-may-dien-gio-Tan-Lap-vao-Quy-9222/,http://pc3invest.vn/news/view/pc3_invest_nghien_cuu_dau_tu_nha_may_dien_gio_dien_mat_troi/page:6,,0101000020E6100000F163CC5D4BAC5A40CEFC6A0E109C3040
1508,Tan Linh (Điện gió Tân Linh),Wind,Under Construction,48,2021,,Vietnam,Công ty CP Đầu tư xây dựng và thương mại Phú Điền,,,Denmark,Vestas,Vietnam,Quảng Trị,Hướng Hóa,,Xe Banghiang,16.6652,106.694,"Actual location unknown, currently sited at locality in link/announcement",173500,,Sponsor Website,http://www.tietkiemnangluong.vn/d6/news/Quang-Tri-se-co-them-3-nha-may-dien-gio-tong-muc-dau-tu-gan-5000-ty-dong-115-109-12521.aspx; https://energynorthern.com/2020/05/01/vestas-wins-new-order-for-two-vietnam-wind-projects/; https://bnews.vn/quang-tri-chuan-bi-dua-vao-van-hanh-hang-chuc-du-an-dien-gio/184332.html,http://xml2.quangtri.gov.vn/xml_skhdt/VBDI/SKHDT-BC-40-2019.pdf,04:30:20,0101000020E6100000BF7D1D3867AC5A407C9BFEEC47AA3040
1509,Tan Phuoc 1,Gas,Planned,1200,2027,,Vietnam,EVN,,,, ,Vietnam,Tiền Giang,Gò Công Đông,,Song Vam Co Dong,10.445,106.707,"Actual location unknown, currently sited at locality in link/announcement", ,,Sourcewatch,https://www.norwep.com/content/download/40625/297656/version/3/file/2.EVN-LNG+Norway+Embassy_D.pdf, ,12:21:20,0101000020E6100000A1D634EF38AD5A40A4703D0AD7E32440
1510,Tan Phuoc 2,Gas,Planned,1200,2028,,Vietnam,EVN,,,, ,Vietnam,Tiền Giang,Gò Công Đông,,Song Vam Co Dong,10.445,106.707,"Actual location unknown, currently sited at locality in link/announcement", ,,Sourcewatch,https://www.norwep.com/content/download/40625/297656/version/3/file/2.EVN-LNG+Norway+Embassy_D.pdf, ,12:21:20,0101000020E6100000A1D634EF38AD5A40A4703D0AD7E32440
1511,Tan Thanh (Nhà máy nhiệt điện Tân Thành),Coal,Cancelled,2400,,,Japan,J-Power,Japan,,, ,Vietnam,Bà Rịa - Vũng Tàu,Tân Thành,,Coastal Tributaries Ba Ria-Dong Nai-HCMC,10.5858,107.03,"Actual location unknown, currently sited at locality in link/announcement", ,,Sourcewatch,http://baobariavungtau.com.vn/cat-luu-du-lieu-cu/200705/Cong-ty-J-PoWeR-de-xuat-dau-tu-du-an-Nha-may-nhiet-dien-dot-than-tai-huyen-Tan-Thanh-211939/, ,12:21:20,0101000020E610000004E78C28EDC15A4095607138F32B2540
